academic_year,program_year,agency_name,prepared_for_practice,learning_goals_met,most_helpful,least_helpful,recommend,recommend_reason,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,supervision_frequency,supervision_quality,comments_supervisor,felt_prepared,other_comments
2019-2020,specialization,Rimrock Foundation,neither agree nor disagree,strongly disagree,"i appreciated the trauma-informed approach and the way staff talked through real cases, but there was still a lot that felt unstructured",there was too much admin work and not enough learning,no,"no, because the role did not provide enough support or enough meaningful practicum learning",somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat agree,neither agree nor disagree,strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,i needed more support and more intentional supervision than i received,strongly disagree,i would have liked a little more direct feedback
2020-2021,bsw,Providence St. Joseph Medical Center,strongly agree,strongly agree,"excellent supervisors, both erin and the msw supervisor, jillian","nothing about my agency, the recurrent meetings with umt msw seminar instructor wasn't very helpful.",yes,,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,,strongly disagree,
2020-2021,specialization,"Center For Children, Families And Workforce Development",somewhat agree,neither agree nor disagree,"the most helpful part was observing and then doing case management with support, but i had to be flexible",the structure was uneven early on,yes,i would recommend it with some caution because the learning was meaningful even though the structure was mixed,somewhat disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,somewhat disagree,somewhat disagree,"my supervisor was supportive when available, but meetings were not always consistent",strongly disagree,
2022-2023,bsw,Catalyst Mt,somewhat disagree,somewhat disagree,"it was helpful to understand how programs are run and how staff work together across services, and that helped even when the role felt a little unclear",supervision was helpful but not always consistent week to week,yes,i would recommend it with some caution because the learning was meaningful even though the structure was mixed,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly disagree,strongly disagree,meetings were infrequent and expectations were not clearly communicated,strongly disagree,
2022-2023,generalist,Student Advocacy Resource Center,strongly agree,strongly agree,the most helpful part was getting hands-on experience. i was able to work with clients while still feeling supported. i liked seeing how the program connected with families and partner agencies,the first few weeks felt unstructured,yes,i would recommend it because i felt challenged in a good way and supported throughout,strongly agree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,somewhat agree,somewhat agree,strongly agree,strongly agree,somewhat agree,strongly agree,my supervisor helped connect practice to ethics and reflection,strongly disagree,overall this was a strong learning experience
2022-2023,generalist,Providence St. Joseph Medical Center,somewhat agree,strongly disagree,"it was helpful to understand how programs are run and how staff work together across services, even though the structure was uneven at times",i wanted more clarity around my role and learning goals,yes,i would recommend it depending on what a student is looking for because some parts were strong and some were uneven,strongly disagree,neither agree nor disagree,somewhat disagree,strongly agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,strongly disagree,strongly disagree,i did not feel like i had enough feedback or structure from my supervisor,strongly disagree,i would have liked a little more direct feedback
2023-2024,generalist,Intermountain,strongly agree,strongly agree,putting therepeutic modalities and interventions learned in class into practice.learn how to practically engage in actual social policy advocacy.,"there were times i had difficulty actively seeking out learning opportunities.would like more client interactions, limited due to agency policies.",yes,,somewhat agree,strongly agree,strongly agree,somewhat agree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,somewhat agree,somewhat agree,,strongly disagree,
2023-2024,specialization,Blackfeet Community College,somewhat agree,somewhat agree,"i appreciated learning how case coordination and partnerships work in real settings, and that helped even when the role felt a little unclear",there were times when expectations were not clear,yes,i would recommend it depending on what a student is looking for because some parts were strong and some were uneven,strongly disagree,strongly agree,somewhat agree,somewhat disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,meetings were infrequent and expectations were not clearly communicated,strongly disagree,it would help to clarify expectations sooner
2024-2025,specialization,Youth Homes,somewhat disagree,somewhat disagree,the best part was exposure to client sessions and working with staff who were willing to answer questions,the experience depended a lot on the week and who was available,yes,i would recommend this placement with some caution because the learning was good but the structure could be stronger,strongly agree,somewhat agree,somewhat disagree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,somewhat disagree,somewhat agree,"my supervisor was supportive when available, but feedback was limited",strongly disagree,i learned meaningful things but the placement would benefit from stronger structure
2024-2025,specialization,Youth Homes,somewhat disagree,strongly disagree,i did not get enough direct practice experience. there was not enough client contact to build skills. i wanted more guidance to understand the bigger systems work,not enough check-ins with my afi. there were slow periods with fewer tasks,yes,"i could recommend it, but it depends on who is supervising and what role is available it has value, but the fit depends on the placement setup",neither agree nor disagree,strongly disagree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,strongly disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,"my afi cared about student learning, but the pace of the site made supervision uneven",strongly disagree,more support and clearer expectations would improve the experience. i would have liked more grounding in how policy work connected to student competencies
2014-2015,bsw,Hopa Mountain,neither agree nor disagree,somewhat agree,the most helpful part was learning how ethical decision-making guides practice in complex cases. it also reinforced a person-in-environment perspective.,the least helpful aspect was trying to build rapport and ask questions in a mostly virtual environment.,no,"i would not strongly recommend this placement for every student because the structure and supervision were inconsistent for my learning needs. the main concerns were limited in-person observation, remote communication.",neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,strongly agree,somewhat disagree,somewhat agree,strongly agree,"my afi provided reflective supervision and helped me think critically about assessment, intervention, and documentation.",somewhat disagree,i appreciated the agency culture and the commitment to client self-determination.
2016-2017,specialization,Climate Smart Missoula,somewhat disagree,somewhat agree,"having a consistent supervision relationship with my afi was incredibly helpful! it provided a space to ask questions and prepare/plan for upcoming learning activities. i also appreciated the diversity of experiences at this agency—it was awesome. while the agency is busy, i had the opportunity to spearhead a solo project this past year. the organization supports its employees through frequent conversations about capacity and what feels rewarding, helping to prevent burnout and ensure we feel accomplished in our work.","with my busy student schedule and the agency's equally demanding pace, it was sometimes challenging to get clear direction on tasks or to feel fully prepared to contribute to certain projects. additionally, not being able to attend weekly staff meetings left me feeling out of the loop and, at times, disconnected from the team's work.",yes,"this agency is involved in so many aspects of climate work, providing a wealth of diverse experiences. they are highly multifaceted and can teach you a great deal about what it takes to succeed in community-wide climate engagement and change.",somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree,somewhat agree,somewhat disagree,strongly disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat disagree,"given that my afi didn't have a social work degree, i didn't learn much about social work practice in these meetings.",somewhat disagree,"we need more support to balance school and practicum responsibilities. i took 21 credits this semester and would have greatly benefited from additional assistance. also, having more opportunities to connect with our cohort beyond the single day we see each other could have been helpful."
2016-2017,specialization,Youth Homes,somewhat agree,somewhat agree,the hands on experience of working one on one with youths paired with bi-weekly supervision.,"there were not as many educational opportunities beyond my general responsibilities as a staff member, making it difficult to fully meet some of the competencies. there was some disorganization in getting paired up with a bsw supervisor within the agency as my afi did not have a bsw.",yes,,somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,somewhat disagree,strongly agree,somewhat disagree,somewhat agree,somewhat agree,neither agree nor disagree,"i think it would be helpful for in-agency afis/bsw supervisors to have some kind of guide to go off of for supervision meetings. i know that my afi & bsw supervisor are both very knowledgeable, but there seemed to be a lack of structure/direction in how our meetings went.",neither agree nor disagree,
2021-2022,generalist,3 Rivers Mental Health Center,strongly agree,somewhat agree,"first-hand experience working with clients in the community to coordinate medical/ mental health services, access benefits, and meet other needs. learning to navigate systems in the community was very educational.","the management of 3 rivers mental health services, company policies, and a lack of guidance or leadership within the company.",no,"3 rivers is very dysfunctional, provides very little training/ guidance, makes their employees feel burdensome, and is very unsupportive. it was my experience that management does not value their employees or the clients that they serve, and their main concern is earning money.",somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly agree,strongly agree,strongly agree,"my afi, john wood, was fantastic. he was very supportive, knowledgable, and was one of the only reasons that the practicum experience was tolerable. i am very grateful for john's guidance.",strongly agree,
2021-2022,generalist,Student Advocacy Resource Center,somewhat agree,strongly agree,i was fully integrated into the services offered by the agency and got the opportunity to write notes and manage a caseload,there was an abundance of supervision which often felt unnecessary,yes,"i say yes, with hesitancy. the office culture and communication at the agency was not conducive to developing healthy work habits in the social work field.",strongly agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat disagree,many transitions between supervisors were extremely challenging. it felt as if the director of the program didn't acknowledge or care about the needs of the social work students when hiring for the role,somewhat agree,"while many aspects of the sarc practicum were educational and supportive, there were also many times that i felt extremely condesended to and perceived that the leadership wanted students that were less professionally experienced than i am. i often received pushback when i made suggestions that involved changing an approach and the directors of the program communicated effectively that they were not interested in being challenged by students, but were rather more interested in simply using them for labor."
2022-2023,generalist,La Family Housing,somewhat agree,strongly agree,"the most helpful part was participating in community organization, coalition work, and advocacy.",rapid policy shifts sometimes made it difficult to sustain one project long enough to go deeper.,no,"this placement had strengths, but i would be cautious recommending it unless a student is comfortable with ambiguity and limited direct support. the main concerns were less direct practice, shifting policy demands.",somewhat agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,strongly agree,,strongly disagree,
2024-2025,generalist,Crime Victim Advocate Program,strongly agree,somewhat agree,allowed to work with client 1:1.,lack of supervision,no,"not a clinical setting. my primary goals were to do something clinical, but the msw program lacks opportunities for students to pursue that. this practicum placement was helpful for my own interests in pursuing law, but did not help much in my clinical learning and career goals.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,,strongly disagree,
2024-2025,generalist,3 Rivers Mental Health Center,somewhat disagree,somewhat agree,"i think having a team ou+g3:g241tside of my practicum agency was most helpful. the team listened to and carefully considered the issues the msw intern students. for me, it was beneficial knowing that i belonged to something larger than my practicum.","there were many things at my practicum agency that were not helpful or educational and although i have chosen to use the experience in the most positive light as possible, i cannot help but to think of the laundry list of topics i would not want another msw to experience.",no,"during my time at the agency, it became evident that little consideration was given to employees' physical or mental well-being. this was reflected in nearly all interactions within the organization. one of the most significant issues was the lack of efficient training, which left me struggling to understand my job responsibilities—particularly regarding transportation, as outlined in the job description.discrepancies in office policies created inconsistency, with many decisions left to individual case managers, leading to confusion and billing concerns. the employee manual required case managers to talk on the phone and take notes while driving. when safety concerns were raised about this policy, they were quickly dismissed. additionally, my office was located in a separate building in a basement, and any voiced safety concerns were disregarded.the agency’s disregard for fair labor practices was also concerning. on one occasion, the owner requested that i complete a task but later adjusted my timecard because medicaid could not be billed for my work—essentially requiring me to work for free. case managers were also expected to attend unpaid potluck lunches. when i requested a heater for my office space, i was told that case managers were not responsible enough and might burn down the building, despite other offices having heaters.regarding client care, i witnessed unethical financial practices. the agency provides payee services and charged one of my clients for a room in their group home, even though there was no available space. after prepaying, the client was later informed he was no longer eligible for the group home. when i advocated for a full refund, my concerns were dismissed, and it remains unclear how much, if any, of his money was returned.more recently, the executive director prematurely moved a client off my caseload and reassigned them to a new case manager. when the client inquired about the change, the executive director falsely claimed that i had requested the transfer. the client later left a voicemail expressing deep hurt over what she was told i had said about her. this unfortunate and unethical decision retraumatized the client and could have lasting negative effects.additionally, one of the doctors on staff had previously been reprimanded in another state and lost his license due to an inappropriate relationship with a client at another mental health facility. despite this serious ethical violation, he was still employed at the agency, raising concerns about the organization’s hiring and oversight practices.if i learned anything from this agency, it would be how to remain ethical in practice while working in an unethical environment. navigating these challenges reinforced the importance of integrity, advocacy, and adherence to ethical standards, even when those around me failed to uphold them.these are just a few examples of the agency's problematic practices, and unfortunately, there are many more. given my experience, i would not recommend this practicum site to another msw student.",somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,strongly agree,strongly agree,my afi created an environment that made my practicum bearable.,strongly agree,i hope you will remove 3 rivers mental health solutions as a practicum site.
2015-2016,bsw,Aspen Counseling Services,somewhat disagree,somewhat disagree,too much admin work,i would have liked more exposure to direct practice,no,i would not recommend it in its current form because the role expectations and feedback were too limited,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,neither agree nor disagree,i did not always know what was expected. feedback was limited,strongly agree,i do not think the current structure supports student learning very well
2015-2016,specialization,Frontier Behavioral Health,somewhat disagree,somewhat disagree,i appreciated that i had real exposure to parent coaching and home visits.,one frustration was that a lot of my time went to paperwork instead of actual practice.,no,i cannot recommend this site right now because i needed more direct practice and less busy work.,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,"my supervisor gave decent feedback, but supervision was inconsistent. support was weaker than it should have been.",neither agree nor disagree,the field liaison ended up being more helpful than the site when problems came up
2016-2017,bsw,Boys And Girls Club,somewhat agree,strongly agree,"my work at my practicum agency was very hands-on, meaning i was doing the work. i know a lot of other practicum students aren't as lucky and feel that they are ""glorified interns"", but i did not feel that way at all. i was actively working through various situations every day and was counting on myself and my education to do the best of my ability. that hands-on nature was most helpful and educational, i learned a lot.","my practicum agency experienced a lot of turn over and unstable-ness during my time there. leadership changing, moving offices, things not going as expected, etc. that was hard to navigate and made it so sometimes my education was not put first.",yes,i think it was a great learning experience and helps prepare you in the field of social work / nonprofit work! plus it is a paid practicum!,somewhat agree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,somewhat disagree,strongly agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,na,strongly agree,na
2016-2017,bsw,Bozeman School District 7,strongly disagree,strongly disagree,i needed more support and clearer expectations. i was unclear about my role for too long. i wanted more guidance to understand the bigger systems work,inconsistent supervision. committee work felt abstract early on. the onboarding process could have been clearer,no,i would not recommend it for a student who needs consistent support,somewhat disagree,strongly disagree,neither agree nor disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat agree,strongly agree,somewhat disagree,somewhat disagree,expectations were not always clear and follow-up was minimal,strongly agree,the placement needs better structure for students
2016-2017,generalist,Curry Health Center,somewhat disagree,somewhat disagree,i still learned some basics about community work,there was too much uncertainty about what i was supposed to be doing,no,i would not recommend it in its current form because the role expectations and feedback were too limited,strongly disagree,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"there were good intentions, but feedback was limited and that affected my learning",somewhat agree,the placement needs stronger onboarding and more consistent supervision for students
2017-2018,bsw,Rimrock Foundation,somewhat disagree,neither agree nor disagree,i appreciated that i was included in documentation and advocacy instead of only observing.,one frustration was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because i do not think the site is set up well for students right now.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly disagree,my supervisor left me guessing about expectations more than i should have been. it was hard to schedule supervision consistently and feedback was limited and often too vague.,neither agree nor disagree,i do not think students should have to figure out this much out on their own
2017-2018,bsw,Curry Health Center,somewhat disagree,neither agree nor disagree,"what helped me most was that i got to work on life skills coaching, program planning, and family outreach and connect class content to practice.",one frustration was that i was often shadowing when i needed more chances to try skills myself.,no,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well.",somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,"my field instructor was not openly rude, but the supervision space did not feel very supportive. meetings were too infrequent for the amount of support i needed and i did not get enough guidance to feel grounded.",neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
2017-2018,generalist,Haven,neither agree nor disagree,somewhat disagree,what helped me most was that the day-to-day work around motivational interviewing and documentation helped build my confidence.,least helpful for me was that communication across staff was inconsistent.,yes,"i would still recommend it for the right student because the site helped me build practice skills that felt transferable, but i would have liked a little more structure in the student role.",somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,my afi was one of the strongest parts of the placement. supervision stayed on the calendar even during busy weeks and supervision felt developmental instead of performative.,neither agree nor disagree,"i learned meaningful things, just not in a very organized way"
2017-2018,generalist,Child And Family Service Department,somewhat disagree,neither agree nor disagree,"for me, the biggest help was that i had real exposure to documentation, group activities, and family outreach.",one frustration was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat disagree,my afi was often unavailable when i needed clarification. check-ins did not happen often enough and i did not get enough guidance to feel grounded. i often needed more direction than i got.,neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
2017-2018,specialization,Poverello Center Inc,somewhat agree,somewhat agree,"i found group work especially helpful because it combined direct practice, planning, and observation. it gave me a clearer view of micro, mezzo, and macro practice.",the school schedule limited continuity and made it harder to follow student progress over time.,no,"i would only recommend this setting if a student is highly independent, because the learning structure was not always clear. the main concerns were school calendar limits, schedule changes.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,somewhat agree,,neither agree nor disagree,
2019-2020,bsw,Boys And Girls Club,somewhat disagree,somewhat disagree,"for me, the biggest help was that i was included in legislative tracking, policy research, and community testimony prep instead of only observing.",what was hardest for me was that i needed more client contact and fewer office tasks.,no,"no, i would not recommend it in its current form because i needed more direct practice and less busy work.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,neither agree nor disagree,"my afi cared about students, but meetings were more conversational than instructional. the structure around supervision was not strong.",neither agree nor disagree,i do not think students should have to figure out this much out on their own
2019-2020,bsw,Big Sky Palliative & Hospice,strongly disagree,somewhat disagree,i needed more support and clearer expectations. i mostly shadowed or did admin tasks. i wanted more defined tasks and clearer learning goals,difficulty getting feedback when i needed it,no,i would not recommend it because the learning opportunities were too limited,strongly disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly disagree,somewhat disagree,"my supervisor was supportive when available, but scheduling was inconsistent",neither agree nor disagree,i left feeling less prepared than i hoped
2019-2020,bsw,Child And Family Service Department,strongly disagree,somewhat disagree,unclear expectations,there was too much uncertainty about what i was supposed to be doing,no,i would not recommend it in its current form because the role expectations and feedback were too limited,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,neither agree nor disagree,somewhat disagree,supervision was a concern. support depended on how busy the week was and i often needed more guidance than i received,neither agree nor disagree,
2019-2020,generalist,Ywca,somewhat disagree,somewhat agree,"exposure to a variety of trainings, diverse clientele and personal learning opportunities.","lack of diversity, transparency, trust. unhealthy power dynamics.",yes,,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,neither agree nor disagree,,neither agree nor disagree,
2020-2021,bsw,Child And Family Service Department,somewhat disagree,neither agree nor disagree,the most helpful part was that the clients and day-to-day tasks around crisis calls and case management taught me more than the structure did. it made the learning agreement feel less abstract.,one frustration was that feedback came too late to be useful some weeks.,no,i cannot recommend this site right now because there was not enough support or structure from supervision.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat disagree,strongly disagree,"my supervisor did not invite many questions, so i held back more than i should have. meetings were too infrequent for the amount of support i needed and i did not get enough guidance to feel grounded.",neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
2020-2021,generalist,Ywca,somewhat agree,somewhat agree,"the most helpful part of the experience was having a supportive afi. navigating some parts of the ywca culture was hard. if i didn't have someone within the agency who was supportive, i am not sure i would have found much within the practicum that would help me grow as an individual.","hearing many stories of harm, not having leadership take a stance when necessary, and having an hr that is not dedicated only to that area within the organization. hr was only implemented part of the way through my practicum, and that is not great for an organization that has over 100 employees.",no,i would not currently recommend the agency to another individual because there is internal problems that make it difficult to have a fully integrative experience. the fact that no msw is currently employed after graduation is concerning when so many individuals have been placed at the agency. there are also concerns with how problems are not internally resolved.,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,gage was one of the only ways that i gained support and potential solutions while in my practicum.,neither agree nor disagree,"i will share more during the meeting, and i have regularly shared experiences during the seminar's hour."
2021-2022,bsw,Abbie Shelter,strongly disagree,strongly disagree,the placement did not provide enough structure. meetings were often canceled or rushed. i wanted more guidance to understand the bigger systems work,unclear expectations from the start. scheduling could be difficult at times,no,i would not recommend it unless the supervision and structure improve,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly agree,somewhat disagree,somewhat agree,somewhat disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,"my afi cared about student learning, but the pace of the site made supervision uneven",neither agree nor disagree,
2021-2022,bsw,Bozeman School District 7,somewhat disagree,neither agree nor disagree,"what helped me most was that i could learn resource referrals, case management, and safety planning and then debrief after.",least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,no,i cannot recommend this site right now because the practicum expected too much self-direction without enough support.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly disagree,strongly disagree,my afi met with me too infrequently to really guide the practicum. it was hard to schedule supervision consistently and feedback was limited and often too vague. it affected my confidence more than it should have.,neither agree nor disagree,there was too much admin work and not enough direct practice for a practicum. i appreciated the staff who answered questions when they could.
2021-2022,generalist,Acenda Integrated Health,neither agree nor disagree,neither agree nor disagree,"i gained experience with outreach, advocacy, and relationship building, even though i wanted more guidance overall",there was not enough guidance for a practicum student,no,i would not recommend this placement because the supervision and structure were too inconsistent,strongly disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat disagree,strongly disagree,strongly disagree,na,neither agree nor disagree,
2021-2022,generalist,Blackfeet Community College,somewhat disagree,somewhat disagree,the best part was exposure to advocacy and working with staff who were willing to answer questions,the experience depended a lot on the week and who was available,no,i would not recommend this placement because the support and learning opportunities were too inconsistent,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly disagree,strongly disagree,somewhat disagree,somewhat disagree,strongly agree,somewhat agree,somewhat disagree,strongly disagree,"i got useful feedback at times, though supervision felt rushed at times",neither agree nor disagree,
2021-2022,generalist,Cameron R-1 School District,neither agree nor disagree,neither agree nor disagree,what helped me most was that i got to work on aps coordination and psychosocial assessments and connect class content to practice,the least helpful part was that a lot of my time went to paperwork instead of actual practice.,no,i cannot recommend this site right now because i needed more direct practice and less busy work.,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly agree,strongly agree,my afi helped me grow without hovering over every step,neither agree nor disagree,"the practicum was not all bad, but it needed more intentional planning"
2021-2022,specialization,Salem Keizer School District,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that the day-to-day work around resource referrals and crisis support helped build my confidence.",least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,no,i cannot recommend this site right now because the role leaned too hard on admin work and observation.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,"my field instructor wanted everything done a certain way, which made it harder to build confidence. i did not get enough guidance to feel grounded.",neither agree nor disagree,the field liaison ended up being more helpful than the site when problems came up
2021-2022,specialization,Providence St. Joseph Medical Center,neither agree nor disagree,neither agree nor disagree,"i appreciated that i got to work on documentation, safety planning, and crisis support and connect class content to practice. it gave me a better sense of direct practice.","honestly, what was hardest for me was that a lot of my time went to paperwork instead of actual practice.",no,"honestly, no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat agree,somewhat agree,"my supervisor made the environment comfortable, but expectations were still a little fuzzy. supervision stayed on the calendar even during busy weeks and supervision felt developmental instead of performative.",neither agree nor disagree,i left feeling more cautious than prepared
2022-2023,generalist,Boys And Girls Club,somewhat agree,somewhat agree,the assessment process was one of the strongest learning opportunities because i could connect person-in-environment thinking with real intervention planning. this helped me apply the strengths perspective in practice.,the least helpful part was the amount of time spent on documentation.,yes,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were care planning, family systems.",somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,somewhat agree,,neither agree nor disagree,
2023-2024,bsw,Curry Health Center,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that the day-to-day work around benefits coordination, housing assessments, and case management helped build my confidence.",one frustration was that i had too much admin work and not enough hands-on practice.,no,"no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,neither agree nor disagree,"my field instructor checked details closely but did not always explain the why. feedback was limited and often too vague. i got frequent feedback, but not much room to develop my own style.",neither agree nor disagree,there was too much admin work and not enough direct practice for a practicum.
2023-2024,bsw,Nasw Montana,somewhat disagree,neither agree nor disagree,"i gained experience with outreach, advocacy, and relationship building, but there was still a lot that felt unstructured",there was too much admin work and not enough learning,yes,"i would recommend it for someone who is comfortable with flexibility, but expectations should be discussed early",strongly disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,strongly disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,i needed more support and more intentional supervision than i received,neither agree nor disagree,it would help to clarify expectations sooner
2023-2024,bsw,Aspen Counseling Services,somewhat disagree,somewhat disagree,"for me, the biggest help was that even with the issues at the site, i still learned from housing search support, case management, and outreach.",the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,no,i would not recommend this placement because feedback and expectations were not clear enough.,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly disagree,"my afi was not openly rude, but the supervision space did not feel very supportive. supervision got pushed back too often and support was weaker than it should have been. that made it harder to learn steadily.",neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
