academic_year,agency_name,agency_name_display,comments_supervisor,least_helpful,most_helpful,other_comments,recommend_reason
2017-2018,reading partners south carolina,Reading Partners South Carolina,,the documentation burden could be heavy and sometimes limited opportunities for direct work.,"rapport-building was one of the most helpful parts of the placement because it shaped every other intervention skill. i could see how assessment, intervention, and evaluation work together.",,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were relapse complexity, documentation burden."
2018-2019,center for restorative youth justice,Center For Restorative Youth Justice,,"there was strong case management learning, but less policy exposure than i expected.",i found care planning very helpful because it linked assessment to realistic intervention steps. it also reinforced a person-in-environment perspective.,,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were family systems, community resources."
2018-2019,cascade academy,Cascade Academy,"my afi provided reflective supervision and helped me think critically about assessment, intervention, and documentation.",on-call demands were educational but also one of the more difficult aspects of placement.,i found the empowerment model very helpful because it focused on client strengths and capacity building.,,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were advocacy, safety planning."
2018-2019,stepping stones,Stepping Stones,i would have benefited from more consistent supervision and clearer feedback on my performance.,the least helpful part was having fewer opportunities for direct service than expected.,"i learned a lot about resource coordination and how to connect needs, services, and follow-up.",,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were social justice, advocacy."
2018-2019,all nations health center - behaviorial health,All Nations Health Center - Behaviorial Health,,the least helpful part was seeing how waitlists delayed services for clients.,case management and resource linkage were especially helpful because they showed me how social work operates across systems. it also reinforced a person-in-environment perspective.,,"i would not strongly recommend this placement for every student because the structure and supervision were inconsistent for my learning needs. the main concerns were limited clinical work, waitlists."
2018-2019,center for restorative youth justice,Center For Restorative Youth Justice,"i appreciated the supervision style; feedback was timely, strengths-based, and connected to real cases.","i learned a lot, but i would have liked more direct practice with clients.","community-based research helped me think about collaboration, stakeholder input, and ethical use of data. this helped me apply the strengths perspective in practice.",overall this was a meaningful practicum and helped me clarify my future field interests.,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were social indicators, evaluation."
2018-2019,families first learning lab,Families First Learning Lab,,i would have liked more follow-up and outcome evaluation after intervention.,the most helpful piece was learning discharge planning and how brief intervention fits into medical social work. it also reinforced a person-in-environment perspective.,the experience deepened my understanding of social work roles across systems.,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were brief intervention, interdisciplinary team."
2018-2019,missoula interfaith collaborative,Missoula Interfaith Collaborative,"my supervisor was available, supportive, and modeled ethical decision-making and professional boundaries.",the workload could be overwhelming at times and limited deeper learning on some cases.,"the supervision was excellent; i received clear feedback, support with ethical dilemmas, and space to reflect on practice. it strengthened my understanding of generalist practice across systems.",i would have liked a more formal orientation at the start of placement.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were assessment, ethical decision-making."
2018-2019,on target aba,On Target Aba,,"brief contact was educational, but i sometimes wanted more continuity with clients.","the team-based environment was very helpful because i could see assessment, discharge planning, and intervention from multiple perspectives. it connected well with social justice and self-determination.",this placement helped me connect classroom learning to practice and strengthened my professional identity.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were documentation, discharge planning."
2018-2019,davidson college,Davidson College,,the least helpful part was navigating bureaucratic systems and long approval processes.,"understanding policy practice and program rules was a very helpful part of the placement. it gave me a clearer view of micro, mezzo, and macro practice.",,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were policy navigation, community resources."
2021-2022,curry health center,Curry Health Center,kayli is well established as an afi and very helpful to learn and grow from.,the inconsistencies of placement locations and opportunity for consistency among all coaches.,1:1 coaching opportunities building diverse students and clients.,,a great motivational interviewing growth opportunity and 1:1 coaching opportunity to take into the future as a clinical social worker.
2021-2022,yellowstone boys and girls ranch,Yellowstone Boys And Girls Ranch,,"i wasn't able to engage much in policy work within my practicum, but i think that just came with the role that i was assigned for my internship this year.","a majority of my practicum work was very helpful. i got to dive in and starting working and engaging with families, as well as seeing the paperwork and community services aspect of it as well.",,
2021-2022,curry health center,Curry Health Center,my afi was great in terms of jumping in and being an afi having no previous background or knowledge on this. i was happy to have had her guidance and support and allowing me to complete my first year practicum needs at my job.,"my job changed throughout my practicum placement, and things were added to my job description half-way through the year. this was an added stress and something i did not see coming when i first started my practicum.",being able to learn and grow so much in the health and wellness world. the most educational was being able to directly apply what i was learning through my research and community practice and apply it to working with the students and the various groups that i would lead out or oversee.,i was thankful to have done my first year of practicum here. i am excited to change it up for next year and grow even more!,i would because there is so much to learn about and put into practice when it comes to the health and wellness world. i also did lots of group work on campus and the various classes i had about community and group therapy was very beneficial.
2021-2022,big sky palliative & hospice,Big Sky Palliative & Hospice,,i have been so happy with all aspects of my practicum. i don't have any complaints. this placement has met all my needs and has taught me so much!,"direct client work was incredibly beneficial for learning, and the most helpful aspect was the supervision i got from my supervisors. they dedicated 2.5 hours a week to meeting with me and another msw practicum student, and that time spent with them was very educational for me.","it was great, and i want to stay with them for next year because it has deeply impacted me, and i want to continue the momentum there.","justin and david are an amazing pair and work beautifully together. i admire their skills and ability to work as a team as they meet the needs of their clients. their iop offering specifically is a powerful program, and i have seen how deeply it impacts the clients who are walking the path of recovery and how much group therapy supports clients in reaching their goals."
2021-2022,aware inc,Aware Inc.,"between traci and the people i worked with daily, i was provided any and all tools and materials i required for both work and educational purposes. furthermore, i feel like i was heard when i had questions or concerns, and even the most difficult ethical dilemmas i faced were resolved appropriately with their help.","this is a hard question to answer, as my experience at aware was extraordinary. however, upon careful contemplation, having to meet a quota for my services was difficult at times. however, this was an employment-based practicum, so the agency's expectations applied to me as an employee. these expectations made it hard at times to juggle schoolwork and personal life, but i feel like this is a hardship i knew about in advance and welcomed into my life. in hindsight, i would have preferred to work part time, though also am aware of my financial needs as a student in my 30s. still, the team was flexible and supportive through this mild inconvenience.","for me, the exemplary supervision was most beneficial to my educational needs. furthering this thought, i was provided with a thoroughly supportive team that all taught me from their perspectives.",nope.,"aware worked with me by meeting me at my level. they were an extremely supportive team, and despite my distaste for having client quotas for the employment based practicum, i feel that i gained a plethora of knowledge and experience."
2021-2022,paxson elementary school,Paxson Elementary School,,it was unpaid.,"i had a supervisor who was extremely supportive. she pushed me when i needed to be pushed, yet always had my best interests in mind. she was open to questions at all times and we were able to have very in depth conversations about interventions and cases in the school.",,"very supportive, great learning opportunities."
2021-2022,helena valley addiction services,Helena Valley Addiction Services,"jenna huey, and my temp afi brian were great they taught me a lot, were always there if i needed them, gave me endless support and also let me spread my wings and practice on my own which was awesome.","i honestly found it all very educational, i guess the only thing that is not educational in what i want to do career wise with social work is that i did not work with children often, which is what i want to do as my career, but other then that i learned more then i could ever imagine.","i learned how to apply theories, social work de-escalation strategies, and rational detachment to many different situations and used those skills almost every day. i also got to run my own group, do intakes and work with a variety of individuals who were at unique walks of life.","10/10 it was great, i have learned a lot and think i am more prepared to be a social worker now.","i would recommend someone to do their practicum at the hrdc bozeman warming center, if they want to be a school social worker like me it wont have them work with kids but i still think it is worth doing one practicum at because i think it will teach them a lot about life, individuals, and society, and give them many excellent skills they can use in any social work career."
2021-2022,vocational rehab,Vocational Rehab,"julie was an amazing afi, i will always appreciate her for what she taught me in my first year of practicum. she was willing to take ample time to teach me how to be a better counselor, and just watching how she treated others was very inspiring.","there was a lot of documentation and a complex computer program that took a lot of time to learn. i am sure it will be helpful for my future job, but it was often frustrating.",i was able to visit with clients one on one. my practicum agency allowed me to shadow counselors which prepared me to visit with clients on my own.,it was a success!,julie is one of the best individuals i have ever met. she was patient with me and was very willing to teach me and answer questions. she is very good at her job and i learned a lot from her.
2021-2022,montana state hospital,Montana State Hospital,"nicole smith exemplifies what an organizational leader should be in every way i care about. she is a brilliant thinker and strategist, a kind and generous mentor, delegates well and shares both authority and responsibility, acts according to her core principles (which are also those of the nasw) and shows us how love endangered becomes the relentless, collective fight for justice we must engage in!",the only thing i wanted a bit more of was face-to-face group and individual contact and communication with montanans outside the non-profit and legislative advocacy communities.,"if, as cornel west said, ""justice is what love looks like in public,"" then montanans for choice demonstrates well how love takes the form of social justice work, exactly in keeping with the nasw code of ethics and human rights principles.",,"for a student with macro level interests, i cannot imagine a better practicum for putting social work theory and ethics to work in the policy arena."
2021-2022,hamilton school district 3,Hamilton School District 3,,"overall, my practicum agency was able to be helpful and educational. the only issue that interfered with this process would be that the afi works between 3 schools in the district, and this sometimes led to me needing to do some problem-solving over the phone or with the staff i work with. this would be met with analysis of the situation and problem-solving that would occur afterwards.","in my practicum agency, i was able to be hands-on with my practice, and i was given opportunities to be a leader in the cali (center for alternative learning and intervention). i was given responsibilities that pushed me out of my comfort zone, and it allowed me to learn different processes of social work within a school setting. i had support in these areas where i felt i would be supported if i made a mistake, and there would be a process of correction that was beneficial to my learning experience.",,"anna green is what every social worker should aim to be. she has such vast experience within the social work field that she can see perspectives that others would not consider. she can incorporate her life experiences into her work to create meaningful solutions with the people she works with. anna's delivery that she possesses is one of a kind, with a mix of her personality and high professionalism. the school district is a great place to have a practicum, but my practicum experience would not be what it was without her."
2021-2022,la family housing,La Family Housing,"my afi was always on top of everything, she made sure we were on the same page, assigned tasks to me, and answered all my questions but also made sure i understood them and not just gave a blank answer. she was always very helpful and her guidance and support throughout the entire thing was very much appreciated.","the least helpful would be certain trainings that i had already previously taken to work for the schools, so retaking them felt pointless because i already knew the information.",learning to do the paperwork and how each student is different so we have to determine different goals and ways of working with them.,,"it is an amazing place to grow, to be proactive, and to learn as you go. you build great connections with the students and seeing their progress along with yours is very rewarding."
2021-2022,partners in home care,Partners In Home Care,,"my afi was wonderful and was able to answer all of my questions. however, sometimes it was difficult to get clear guidance from supervisors.",my practicum agency provided opportunities to meet all competencies and learning activities.,,
2021-2022,haven,Haven,,the least helpful elements weren’t due to lack of effort or engagement on my part or lack from my afi but rather: structural barriers to access (like missed eij meetings)/a lack of feedback integration from dvrt/systemic resistance to change/information overload without shared tools for synthesis,"my practicum was most educational in teaching you how systems operate, how people resist or embrace change, and how a grounded, reflective, research-informed social worker can still make an impact—patiently, persistently, and ethically.i gained:a researcher's eye for evaluating practices; and was able to implement my natural ability to pattern, see gaps in processes. a social worker's heart for ethical, inclusive engagementa systems-level mind for seeing beyond silos toward collaboration",,"real-world exposure to multi-agency collaborationworking with haven through dvrt offers a rich, behind-the-scenes view of how domestic violence response functions across multiple systems—from law enforcement and victim services to medical professionals, legal advocates, and policymakers. this experience is invaluable for students who want to understand the complex interagency dynamics required to address domestic violence at the community level.it’s a practicum where you don’t just learn about systems—you see them in action, with all their challenges and opportunities.supportive supervision and space for reflectionmy relationship with  afi (bailey) and the supervision structure gave you consistent opportunities for feedback, reflection, and skill-building, particularly in navigating difficult topics and ethically complex environments. i was not just doing the work—i was learning how to reflect on it critically."
2021-2022,standing together against rape (star),Standing Together Against Rape (Star),,that it was too short!,"my supervisor and the many opportunities for workshops/trainings, debriefing, creating my own path for this role.",,star will take care of you.
2021-2022,frontier behavioral health,Frontier Behavioral Health,,"the least helpful aspect of my practicum agency was the limited opportunity to engage in hands-on clinical or direct service work, particularly during the early stages of my placement. while i understood the need to observe and build trust first, i found that some tasks felt more administrative than educational. at times, this made it challenging to fully apply what i was learning in the classroom to real-world scenarios. however, even those moments taught me about the inner workings of service delivery and the importance of every role within an agency.","one of the most helpful and educational aspects of my practicum agency was the opportunity to work directly with clients and observe how theory translates into practice. being involved in case management and attending team meetings allowed me to see the complexities of client needs and how services are coordinated across systems. i also appreciated the mentorship i received from experienced staff who were always willing to answer questions, provide feedback, and involve me in meaningful tasks. these experiences helped deepen my understanding of trauma-informed care, ethical decision-making, and the importance of cultural humility in practice.",,
2021-2022,"center for children, families and workforce development","Center For Children, Families And Workforce Development","i am incredibly grateful for the supervision and support i received from my afi, mackenzie. she created a welcoming and trusting environment that made it easy to ask questions, seek feedback, and reflect on my learning. mackenzie’s approach to supervision was both supportive and empowering — she provided guidance when needed while also encouraging me to take initiative and develop my own skills and leadership style. our supervision meetings were a space for thoughtful conversation, problem-solving, and professional growth, and i always felt that my learning goals were prioritized. her mentorship was a significant part of what made my practicum experience so positive and meaningful.","i truly found my practicum experience at the center for children, families, and workforce development to be incredibly positive. i did not encounter any aspects that felt unhelpful. even areas where i was challenged ultimately contributed to my growth and learning. i am grateful for the supportive environment, the clear communication, and the meaningful work i was able to be part of throughout my time at the center.","one of the most helpful aspects of my practicum at the center for children, families, and workforce development was the opportunity to engage in meaningful, systems-level work while receiving strong mentorship and support. from the beginning, mackenzie created a welcoming environment where i felt encouraged to ask questions, contribute ideas, and grow my skills. i appreciated the balance of structure and autonomy in my role, which allowed me to develop confidence in facilitation, policy research, and stakeholder engagement.",,"i would absolutely recommend the center for children, families, and workforce development to other students. the center offers a supportive and collaborative learning environment where students can build practical skills while engaging in meaningful, systems-level work. it’s an excellent placement for students who are passionate about community impact, policy development, and working at the macro level."
2021-2022,curry health center,Curry Health Center,,the early trainings feeling scattered around the beginning of school,the availability of my afi to answer questions within a timely manner whenever i was confused about something,"i appreciated the ability to have a flexible schedule. i would say there were too many wellbeing support coaches for the number of students who used the service, but that has been discussed with my afi and they are reducing the number for next year.",wellbeing support coaching provides the opportunity to connect with a large number of students across the university of montana campus with varying needs and backgrounds. you can practice a wide variety of skills that are essential in the clinical environment.
2021-2022,community safety network,Community Safety Network,my afi provided really invaluable insight and feedback. i appreciated that she challenged me. she often did not communicate in advance about her schedule and often cancelled or rescheduled meetings at the last minute which was frustrating given my limited days in the office. with more advanced notice i would have tried to change my schedule to attend some meetings.,"when there were last minute schedule changes, meeting cancellations, people out of the office, i was often left figuring out how to make best use of my time. being there only two days a week it was difficult for me to assume and follow through on my own clients so other than taking helpline calls, i mostly shadowed or worked with others.","the client service weekly meetings where there was discussion of clients, dilemmas, policies and i got to see how the values and organizational pillars were applied, as well as observe communication techniques and how different team members presented themselves and were informed by their life experiences and role.",i was grateful for any experiences that had me interacting with the wider community as an msw student and representative of csn. i learned a lot but it is also serving as valuable networking as i look to build my professional network and social work career in jackson.,"this agency does important and very intense work and i learned a lot about sexual assault and domestic violence work, trauma-informed program design and direct practice. the staff were very welcoming and were willing to answer questions, engage in discussion and basically give me their time. interestingly some of my greatest learning did not come from my afi but others on the staff."
2021-2022,cochise harm reduction,Cochise Harm Reduction,,"not much. if i had to choose something i would say that i was the first intern at chr which took some extra effort on all of our parts. however, because i had worked with chr before in other contexts this was less of a challenge than it might have been otherwise.",the leadership teams experience and the fact that it is a very small agency- they were able to spend a lot of time with me working on supervision and professional development.,"this experience has been incredibly rewarding, and it has also been incredibly challenging in so many ways. i'm not sure what the solution is to make this experience more accessible to students, but there were times when it was very close to, at least for me, not being financially feasible to continue this process. i do wish that there were more resources available to students who are taking this on so that it didn't take such a high level of privilege to be able to complete this program. unpaid labor is such a huge barrier, especially for the most marginalized students. i love this program, and i searched for a long time until i found one that aligned with my values, and i am really glad i did. but, as social workers in training, we're being taught how to center dignity, diversity, access, equity, and it would be awesome to see those more deeply reflected in the practicum process! i am just one person, but here are some things that would be helpful for me to move through practicum with more ease: a more diverse set of identified remote/paid opportunities, funding opportunities for some of the hidden costs around practicum placement, a more expanded set of opportunities outside of mt, more information about practicum expectations earlier in the program (including financial impacts that we may not consider at first), a broader system for emergency financial support, perhaps more guidance for students with non-traditional backgrounds (little sw work experience/criminal charges), and more flexible practicum opportunities (special projects/organizing/research). i appreciate this community deeply, and the growth i experienced at my placement this year! i just want this process to be as accessible as possible for all of the future social workers out there, we need them! thank you for your time and i am looking forward to year two.","chr was an excellent practicum placement. the leadership team was very helpful, transparent, encouraging, and honest. i have never worked with such a principled or transparent agency. i was able to learn much more than i ever imagined in the beginning of my placement. for example- i have been working in social services in one form or another for almost ten years and have never seen a grant application or grant reporting. at chr, every grant that i worked on i had access to all of the documentation around it, was given the opportunity to meet funders, and was given the opportunity to work on the reporting side as well. it has been an incredible learning experience."
2021-2022,montana 10,Montana 10,"supervision was fantastic. my supervisor was extremely flexible with schedules and always willing to meet to discuss concerns, questions, what went well, etc.",the inconsistency of clients showing up for appointments.,the opportunities given to apply what i learn in the classroom to clients at the practicum. as well as having real-world social work examples from my supervisor that were discussed in detail in supervision.,,this practicum provided all-around support and facilitated a great learning environment for a first-time placement.
2021-2022,child and family service department,Child And Family Service Department,"julie has been highly supportive throughout my practicum. any questions or concerns i have had were respectfully heard and responded to. she understands the demands of learning in new areas and outside the practicum. she has inspired me to explore working with people on a micro level and learning about and changing systems and legislation on the mezzo, macro level. i am hoping to be employed at sister carmen in the future!","to be honest, i can't think of something that was least helpful. all the opportunities provided had value, even if i learned from my frustrations of not being able to communicate with the spanish-speaking participants. i realized that i will pursue learning spanish to serve our community in the future.",the opportunity to work in various areas of the organization was very educational. the collaboration of the programs in sister carmen and the support of the participants served has also been very informative. i see how successful a well-run organization can be. this experience also opened my eyes to the possibilities of an msw position and the many areas to support the community.,"i am so appreciative that i had this experience, i hope to continue working with sister carmen in the future!","sister carmen community center has been a wonderful experience, and i recommend it to anyone who has the opportunity to intern or volunteer there. the many services they provide to the community create work experiences in various areas. the staff is highly dedicated to the organization, participants, and services they provide. the morale and collaboration are excellent."
2021-2022,child and family service department,Child And Family Service Department,,none,the supervision and mentoring by my afi as well as the outside supervision from kerrie ghenie was the most beneficial for me throughout practicum.,,the department works heavily in social work and a student can gain an enormous amount of experience by undergoing a practicum here.
2021-2022,partnership health center,Partnership Health Center,kaitlyn was a very supportive afi that answered any question i had and made sure i felt supported and challenged.,"i found the trainings and transition to the new ehr of epic to be the least helpful. while i still believe it is helpful to know what that type of large transition looks like for an agency and necessary for me to participate in, it did not provide as many learning opportunities for social work practice and took away time i could have used interacting with patients.","the variety of ways to engage with the work that phc does in the community. while my primary role was at the main clinic, i got hands on experience with the street med team, the poverello clinic team, the mobile support team, and shadowing behavioral health clinicians in warm hand offs and in group settings.",,"yes, absolutely. this practicum is an excellent opportunity to work with clients. it also is a great opportunity to track how legislation and policies effect clients. lastly, this placement provides excellent opportunity to engage with a diverse population with unique needs and helps you practice client-centered care and creativity."
2021-2022,community medical center,Community Medical Center,"i had a great experience with my afi and really enjoyed using supervision while i did my practicum. they met me at my level, despite the fact that i did not know much about the resources we concentrated on. they had patience, encouragement, and kindness, and gave me room to learn and grow.",i found everything to be helpful and educational. i chose to focus on exploring unfamiliar questions and learning how to navigate areas where i lacked prior knowledge.,to discover and learn about resources that i wasn’t previously aware of.,i just want to share that i had a wonderful time at my practicum.,"i would recommend my practicum agency to another student who has the same learning and career objectives because for me community food agriculture coalition, is a place where you can learn by doing. the staff are warm and dedicated to teaching, and there are a lot of opportunities to work on hard problems that achieve positive results in social justice, community advocacy, systems level change, and more. it has been a great place to grow professionally and have a real impact."
2021-2022,rimrock foundation,Rimrock Foundation,"allie is an incredible supervisor. she gave great feedback, was supportive but also directive, and she taught me a ton about the intriciacies of this kind of treatment model.","i would have liked the opportunity for more mental health skills trainings. we had a psychodrama training scheduled, but unfortunately it got canceled.",weekly supervision with allie was really helpful and so the clinical meetings as they both provided opportunities to learn from more experienced clinicians. i also received a couple of trainings on clinical skills.,,"rimrock foundation is a great place to work with intelligent, motivated people who truly care about their clients. i learned a lot there and would definitely reccomend it to others."
2021-2022,aware inc,Aware Inc.,"both of the afi's i had (traci schinabarger and kari reno) are quite knowledgeable, helpful and committed to their roles. i am thankful to both of them and would recommend future student to be supervised by either.","the least helpful part of my practicum experience is being expected to perform all of my job duties as a case manager while also being in school. i understand that this is non-negotiable and i am happy to perform my job duties concurrent with my practicum, though it did cause additional stress.","what was most educational was being able to be supervised by two different afi's during my pracitcum year. this way, i was able to gain experience from two lcsw's who have differing perspectives and input to provide.",,aware is a great place to be both employed and to complete a practicum. i would recommend anyone to be an intern or to be employed at this agency.
2021-2022,montana 10,Montana 10,"executive directors/leadership shape the culture of the organization, and i cannot say enough good things about erin case as my agency field instructor, or my experiences working for maap. erin might not have the official education or credentials of a social worker, but her personal and professional experiences definitely give her the values and skills of a professionally educated social worker. her professional communication, constructive feedback, approach to leadership all make working for maap a positive experience.","based on the training provided for onboarding, i expected the experience to more closely match the approach of all options and come with some crisis counseling experience or something more akin to case management, but as it is an abortion fund, that experience didn't come. additionally, it would have been great to have more hands on experience at the macro level regarding legislation, policy, and advocacy, but understand why the agency capacity just wasn't there for such activities.",working in abortion access was a great field in regards to experience and education working with demographics with multiple areas of oppression and injustice.,,"while i don't specifically have career goals regarding abortion access or abortion care, or even reproductive justice more generally, this experience gave me the opportunity to navigate discussions around agency mission and whether activities and mission, vision, and values align. additionally, as previously mention, abortion access is a great area to discuss multiple intersecting areas of oppression. as someone particularly interested in child welfare and fostercare systems, we had really great discussions about what abortion bans or lack of abortion access would do to these systems, as well as the common factors that lead individuals to seeking abortion care or being involved in dcfs, such as poverty, substance abuse, domestic violence, houselessness, racial and gender identities, etc.  it was also a great opportunity to exercise my legal education in reviewing proposed legislation or existing laws and how those laws might impact the work we do."
2021-2022,youth homes,Youth Homes,my afi was very helpful with both my cases and provided great feedback and supervision. my whole team was very helpful and supportive as well.,,"youth villages uses a system called guide tree that provides evidence based interventions, this was very helpful and educations when conducting sessions. my team and supervisors were very supportive and helpful throughout my time there. i enjoyed writing treatment plans as this was great experience.",,youth villages is an intensive placement but provides a variety of learning opportunities.
2022-2023,spot to talk,Spot To Talk,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",travel and scheduling across sites sometimes reduced time available for supervision and debriefing.,"the strongest learning came from rapport-building and active listening in real practice situations. it gave me a clearer view of micro, mezzo, and macro practice.",,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were resource linkage, home visits."
2022-2023,spotted bull recovery resource center,Spotted Bull Recovery Resource Center,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",it would have been helpful to follow cases longer rather than only seeing short-term needs.,"brief intervention was very helpful because it required focused assessment, engagement, and clear planning. it connected well with social justice and self-determination.",overall this was a meaningful practicum and helped me clarify my future field interests.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were brief intervention, assessment."
2022-2023,missoula senior citizens center,Missoula Senior Citizens Center,,the least helpful part was limited opportunity for deeper counseling or therapeutic work.,"community organization tasks helped me understand mezzo and macro practice in a concrete way. it gave me a clearer view of micro, mezzo, and macro practice.",overall this was a meaningful practicum and helped me clarify my future field interests.,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were community organization, advocacy."
2022-2023,health promotion disease prevention,Health Promotion Disease Prevention,,technology barriers and remote systems occasionally made communication less efficient.,"i appreciated seeing ethical decision-making used in supervision, documentation, and client advocacy. this helped me apply the strengths perspective in practice.",,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were ethical decision-making, documentation."
2022-2023,casa for children,Casa For Children,,"at times the pace of crisis work made it hard to slow down and reflect, which increased stress and secondary trauma.","i appreciated the trauma-informed approach and the way supervision made space for safety, boundaries, and reflective practice. i could see how assessment, intervention, and evaluation work together.",,"i would recommend this placement because it offered strong supervision, meaningful learning opportunities, and clear integration of social work values into practice. the strongest areas were safety planning, supervision."
2022-2023,nasw montana,Nasw Montana,,the least helpful part was not always getting to see what happened after discharge.,"discharge planning gave me structured experience in assessment, documentation, and interdisciplinary communication.",,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were discharge planning, assessment."
2022-2023,big sky palliative & hospice,Big Sky Palliative & Hospice,"i appreciated the supervision style; feedback was timely, strengths-based, and connected to real cases.",the least helpful part was the amount of time spent on documentation.,family systems thinking helped me understand the broader context of assessment and support planning. this helped me apply the strengths perspective in practice.,,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems."
2022-2023,st. patrick hospital,St. Patrick Hospital,,"at times the student role was not fully defined, which made expectations feel inconsistent.","home visits provided strong exposure to family systems, resource needs, and rapport-building. i could see how assessment, intervention, and evaluation work together.",i would have liked a more formal orientation at the start of placement.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were resource linkage, case management."
2023-2024,montana state hospital,Montana State Hospital,,i'm not sure - this was all so helpful!,the supervisor i worked with and the population that i served - also the regular meetings with the lcsw afi was so helpful to further consider ethical situations as i was experiencing them in my practicum.,,guy is an amazing supervisor and working with incarcerated populations is one of the most valuable experiences we could have.  our culture tends to greatly judge this population and more exposure if required to stop objectifying and judgement.
2024-2025,benefis health system,Benefis Health System,,i truly feel like i learned from every experience that i was given the opportunity to participate in.,a combination of the time with my supervisor and handling a caseload independently were the most helpful and educational experiences. my afi allowed me to observe her social work practice with end-of-life care and then allowed me to independently practice the skills i'd learned from her in my own social work practice. she provided feedback daily and was a sounding board for every situation and experience i encountered. it was such valuable time.,"i feel really grateful for the wisdom, expertise, and kindness shown to me by all members of the collaborative interdisciplinary team at hospice. it has been an amazing experience and i'm excited for new adventures for learning, but reluctant to leave this fabulous team.",i truly don't think that you could find a better afi. she willingly invested time in me as a student and shared what she's learned over a career of almost 2 decades. she allowed time to accompany and learn from her interactions with patients and families and then trusted me to manage my own caseload of patients for further growth and learning.
2024-2025,kent school district,Kent School District,thanks for all the well-informed support alicia!,"this is not the fault of the practicum agency. the msw program i'm part of doesn't touch much on school social work, so there were some concepts like the mtss interventions that i had to learn about during my practicum.",alicia provided helpful feedback and guidance and insured i met all of the requirements outlined in the core competencies.,i would recommend this site to others interested in school social work or with working with elementary-aged children and families.,this was an excellent learning experience for me. i feel more prepared for working in schools and/or with young children. all competencies and requirements were met.
2024-2025,youth homes,Youth Homes,,"sometimes it was challenging to have my supervisor located in another city and to meet remotely. however, deverie always made herself available to answer questions. there were a lot of sick or no-show client appointments, so i didn't have as much direct experience as i would have liked. at the same time, therapists welcomed me to shadow their sessions, which provided me many opportunities to observe.","although it was challenging, it was beneficial to work with clients who received services involuntarily. i was able to develop better skills in motivational interviewing and engagement. in addition, youth homes was a great place to learn about working with and between multiple systems: cfs, youth court, schools, medicaid, etc.",,see above
